nm	W/nm*m2	        cm-1	        kcal/mol	eV	        kJ/mol	
323	0.11623	30959.7523	88.4817157	3.83535829	370.207498				
323.5	0.13393	30911.9011	88.3449588	3.82943038	369.635308				
324	0.14852	30864.1975	88.208624	3.82352076	369.064883				
324.5	0.15467	30816.641	88.0727093	3.81762936	368.496216				
325	0.15504	30769.2308	87.9372128	3.81175608	367.929298				
325.5	0.17936	30721.9662	87.8021326	3.80590085	367.364123				
326	0.20868	30674.8466	87.6674668	3.80006358	366.800681				
326.5	0.22162	30627.8714	87.5332134	3.79424419	366.238965				
327	0.21834	30581.0398	87.3993705	3.78844259	365.678966				
327.5	0.21285	30534.3511	87.2659364	3.78265871	365.120678				
328	0.19773	30487.8049	87.1329091	3.77689246	364.564091				
328.5	0.20675	30441.4003	87.0002867	3.77114377	364.009199				
329	0.23297	30395.1368	86.8680674	3.76541254	363.455994				
329.5	0.25864	30349.0137	86.7362494	3.75969872	362.904467				
330	0.26192	30303.0303	86.6048308	3.7540022	362.354612				
330.5	0.24103	30257.1861	86.4738099	3.74832293	361.806421				
331	0.22835	30211.4804	86.3431848	3.74266081	361.259885				
331.5	0.23635	30165.9125	86.2129538	3.73701577	360.714999				
332	0.24508	30120.4819	86.083115	3.73138773	360.171753				
332.5	0.24655	30075.188	85.9536667	3.72577662	359.630141				
333	0.24263	30030.03	85.8246071	3.72018236	359.090156				
333.5	0.23265	29985.0075	85.6959345	3.71460488	358.55179				
334	0.23823	29940.1198	85.5676472	3.70904409	358.015036				
334.5	0.25434	29895.3662	85.4397434	3.70349993	357.479886				
335	0.26477	29850.7463	85.3122214	3.69797232	356.946334				
335.5	0.25894	29806.2593	85.1850795	3.69246118	356.414373				
336	0.23813	29761.9048	85.058316	3.68696645	355.883994				
336.5	0.22099	29717.682	84.9319292	3.68148804	355.355192				
337	0.21767	29673.5905	84.8059174	3.6760259	354.827958				
337.5	0.23434	29629.6296	84.680279	3.67057993	354.302287				
338	0.25321	29585.7988	84.5550123	3.66515008	353.778172				
338.5	0.26549	29542.0975	84.4301157	3.65973627	353.255604				
339	0.27096	29498.5251	84.3055875	3.65433843	352.734578				
339.5	0.27847	29455.081	84.1814261	3.64895649	352.215087				
340	0.29659	29411.7647	84.0576299	3.64359037	351.697124				
340.5	0.29674	29368.5756	83.9341973	3.63824002	351.180681				
341	0.27932	29325.5132	83.8111266	3.63290536	350.665754				
341.5	0.27853	29282.5769	83.6884163	3.62758632	350.152334				
342	0.29121	29239.7661	83.5660648	3.62228283	349.640415				
342.5	0.30296	29197.0803	83.4440706	3.61699482	349.129991				
343	0.30857	29154.519	83.322432	3.61172224	348.621055				
343.5	0.29246	29112.0815	83.2011475	3.606465	348.113601				
344	0.25352	29069.7674	83.0802156	3.60122304	347.607622				
344.5	0.24439	29027.5762	82.9596347	3.5959963	347.103112				
345	0.27854	28985.5072	82.8394034	3.59078472	346.600064				
345.5	0.29761	28943.5601	82.71952	3.58558821	346.098472				
346	0.29132	28901.7341	82.5999831	3.58040673	345.598329				
346.5	0.29747	28860.0289	82.4807913	3.57524019	345.099631				
347	0.30318	28818.4438	82.3619429	3.57008855	344.602369				
347.5	0.29351	28776.9784	82.2434365	3.56495173	344.106538				
348	0.29306	28735.6322	82.1252706	3.55982968	343.612132				
348.5	0.29884	28694.4046	82.0074438	3.55472232	343.119145				
349	0.28864	28653.2951	81.8899546	3.54962959	342.62757				
349.5	0.2972	28612.3033	81.7728016	3.54455144	342.137402				
350	0.32913	28571.4286	81.6559833	3.53948779	341.648634				
350.5	0.35471	28530.6705	81.5394983	3.53443859	341.161261				
351	0.34603	28490.0285	81.4233452	3.52940378	340.675276				
351.5	0.33388	28449.5021	81.3075225	3.52438329	340.190674				
352	0.32674	28409.0909	81.1920289	3.51937707	339.707449				
352.5	0.30954	28368.7943	81.0768629	3.51438504	339.225594				
353	0.32975	28328.6119	80.9620231	3.50940716	338.745105				
353.5	0.36351	28288.5431	80.8475083	3.50444336	338.265975				
354	0.38523	28248.5876	80.7333169	3.49949358	337.788198				
354.5	0.39043	28208.7447	80.6194476	3.49455776	337.311769				
355	0.3914	28169.0141	80.5058991	3.48963585	336.836682				
355.5	0.37878	28129.3952	80.39267	3.48472778	336.362931				
356	0.35627	28089.8876	80.2797589	3.4798335	335.890511				
356.5	0.33495	28050.4909	80.1671646	3.47495295	335.419417				
357	0.29527	28011.2045	80.0548856	3.47008607	334.949641				
357.5	0.2995	27972.028	79.9429208	3.4652328	334.48118				
358	0.27936	27932.9609	79.8312686	3.46039309	334.014028				
358.5	0.25998	27894.0028	79.7199279	3.45556688	333.548179				
359	0.3065	27855.1532	79.6088974	3.45075411	333.083627				
359.5	0.37013	27816.4117	79.4981757	3.44595473	332.620367				
360	0.3924	27777.7778	79.3877616	3.44116869	332.158394				
360.5	0.37167	27739.251	79.2776537	3.43639591	331.697703				
361	0.34278	27700.831	79.1678509	3.43163636	331.238288				
361.5	0.33647	27662.5173	79.0583518	3.42688998	330.780144				
362	0.3535	27624.3094	78.9491552	3.4221567	330.323265				
362.5	0.38804	27586.2069	78.8402598	3.41743649	329.867647				
